onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
7.116	4.998	association_1_same_context	1	1	S	edge	1.134	5	6.116	1	12.114	3.499
15.613	5.015	association_2_same_context	1	2	S	edge	1.134	5	6.116	9.497	20.628	7.997
28.625	4.998	association_1_different_context	2	1	D	press	23.627	4	27.625	1	33.623	3.499
37.122	4.998	association_2_different_context	2	2	D	press	23.627	4	27.625	9.497	42.12	8.499
50.619	4.997	association_1_different_context	3	1	D	group	45.119	4.5	49.618	1.001	55.616	3.499
59.115	4.998	association_2_different_context	3	2	D	group	45.119	4.5	49.618	9.497	64.113	7.514
71.627	4.998	association_1_same_context	4	1	S	slip	67.129	3.5	70.627	1	76.625	3.499
80.124	4.998	association_2_same_context	4	2	S	slip	67.129	3.5	70.627	9.497	85.122	7.015
92.137	4.981	association_1_same_context	5	1	S	head	88.121	3	91.12	1.017	97.118	3.499
100.617	4.999	association_2_same_context	5	2	S	head	88.121	3	91.12	9.497	105.616	8.497
114.113	5.015	association_1_different_context	6	1	D	body	108.615	4.5	113.113	1	119.128	3.498
122.626	4.999	association_2_different_context	6	2	D	body	108.615	4.5	113.113	9.513	127.625	7.497
135.122	5.015	association_1_same_context	7	1	S	line	130.624	3.5	134.123	0.999	140.137	3.482
143.619	4.999	association_2_same_context	7	2	S	line	130.624	3.5	134.123	9.496	148.618	6.997
155.615	4.999	association_1_same_context	8	1	S	hand	151.617	3	154.616	0.999	160.614	3.498
164.112	5.015	association_2_same_context	8	2	S	hand	151.617	3	154.616	9.496	169.127	8.997
178.124	4.999	association_1_different_context	9	1	D	cast	172.126	5	177.125	0.999	183.123	3.515
186.638	4.982	association_2_different_context	9	2	D	cast	172.126	5	177.125	9.513	191.62	7.997
199.617	4.998	association_1_different_context	10	1	D	sign	194.619	4	198.617	1	204.615	3.499
208.114	4.998	association_2_different_context	10	2	D	sign	194.619	4	198.617	9.497	213.112	-206.977
