onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.135	4.981	association_1_same_context	11	1	S	blow	1.12	4	5.118	1.017	11.116	3.499
14.615	4.998	association_2_same_context	11	2	S	blow	1.12	4	5.118	9.497	19.613	9.014
28.627	4.998	association_1_different_context	12	1	D	globe	22.612	5	27.627	1	33.625	3.499
37.124	4.998	association_2_different_context	12	2	D	globe	22.612	5	27.627	9.497	42.122	7.998
50.12	5.015	association_1_same_context	13	1	S	leap	45.121	4	49.12	1	55.135	3.482
58.617	4.998	association_2_same_context	13	2	S	leap	45.121	4	49.12	9.497	63.615	8.997
72.612	5.015	association_1_different_context	14	1	D	guide	66.614	5	71.612	1	77.627	3.499
81.126	4.998	association_2_different_context	14	2	D	guide	66.614	5	71.612	9.514	86.124	7.498
93.622	4.998	association_1_different_context	15	1	D	stage	89.123	3.5	92.622	1	98.62	3.515
102.135	4.999	association_2_different_context	15	2	D	stage	89.123	3.5	92.622	9.513	107.134	8.48
115.614	4.999	association_1_different_context	16	1	D	scratch	110.116	4.5	114.615	0.999	120.613	3.515
124.128	4.998	association_2_different_context	16	2	D	scratch	110.116	4.5	114.615	9.513	129.126	6.998
136.124	4.998	association_1_same_context	17	1	S	note	132.125	3	135.124	1	141.122	3.499
144.621	4.998	association_2_same_context	17	2	S	note	132.125	3	135.124	9.497	149.619	8.497
158.116	4.999	association_1_same_context	18	1	S	study	152.618	4.5	157.117	0.999	163.115	3.499
166.614	5.015	association_2_same_context	18	2	S	study	152.618	4.5	157.117	9.497	171.629	7.497
179.126	4.998	association_1_different_context	19	1	D	piece	174.628	3.5	178.126	1	184.124	3.499
187.623	5.015	association_2_different_context	19	2	D	piece	174.628	3.5	178.126	9.497	192.638	6.981
199.619	4.998	association_1_same_context	20	1	S	stem	195.62	3	198.619	1	204.617	3.499
208.116	4.998	association_2_same_context	20	2	S	stem	195.62	3	198.619	9.497	213.114	-206.49
