onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.628	4.999	association_1_same_context	41	1	S	quarter	1.114	4.5	5.612	1.016	11.627	3.498
15.125	4.999	association_2_same_context	41	2	S	quarter	1.114	4.5	5.612	9.513	20.124	8.497
28.621	4.998	association_1_different_context	42	1	D	peak	23.139	4.5	27.621	1	33.619	3.499
37.118	4.998	association_2_different_context	42	2	D	peak	23.139	4.5	27.621	9.497	42.116	7.498
49.614	4.998	association_1_different_context	43	1	D	dip	45.115	3.5	48.614	1	54.612	3.516
58.128	4.998	association_2_different_context	43	2	D	dip	45.115	3.5	48.614	9.514	63.126	7.014
70.14	4.982	association_1_different_context	44	1	D	sweep	66.125	3	69.14	1	75.122	3.499
78.621	4.998	association_2_different_context	44	2	D	sweep	66.125	3	69.14	9.481	83.619	7.997
91.616	4.999	association_1_different_context	45	1	D	foot	86.618	4	90.617	0.999	96.615	3.498
100.113	5.015	association_2_different_context	45	2	D	foot	86.618	4	90.617	9.496	105.128	6.998
112.126	5.015	association_1_same_context	46	1	S	suit	108.127	3	111.126	1	117.141	3.482
120.623	4.998	association_2_same_context	46	2	S	suit	108.127	3	111.126	9.497	125.621	8.997
134.618	4.999	association_1_same_context	47	1	S	mix	128.62	5	133.619	0.999	139.617	3.498
143.115	4.999	association_2_same_context	47	2	S	mix	128.62	5	133.619	9.496	148.114	8.014
156.128	4.998	association_1_different_context	48	1	D	trail	151.113	4	155.111	1.017	161.126	3.515
164.641	4.982	association_2_different_context	48	2	D	trail	151.113	4	155.111	9.53	169.623	8.997
178.62	4.998	association_1_same_context	49	1	S	chunk	172.622	5	177.62	1	183.618	3.499
187.117	4.998	association_2_same_context	49	2	S	chunk	172.622	5	177.62	9.497	192.115	7.498
199.613	5.015	association_1_same_context	50	1	S	scrap	195.114	3.5	198.613	1	204.628	3.499
208.127	4.998	association_2_same_context	50	2	S	scrap	195.114	3.5	198.613	9.514	213.125	-207.499
