onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.508	18.501	AUT	candle	10.008	1.5
31.509	18.5	AUT	bucket	30.009	1.5
51.509	18.501	AUT	pillow	50.009	1.5
71.51	18.5	AUT	fork	70.01	1.5
91.51	18.518	AUT	brick	90.01	1.5
111.511	28.501	AUT	lamp	110.028	1.483
141.512	18.484	META	picture	140.012	1.5
161.496	18.5	META	swimmer	159.996	1.5
181.496	18.501	META	hat	179.996	1.5
201.513	18.501	META	bread	199.997	1.516
221.514	18.5	META	star	220.014	1.5
241.515	28.5	META	room	240.014	1.501
271.515	18.501	DA	grass	270.015	1.5
291.516	18.5	DA	sword	290.016	1.5
311.516	18.501	DA	glove	310.016	1.5
331.517	18.501	DA	statue	330.017	1.5
351.518	18.5	DA	palace	350.018	1.5
371.518	28.501	DA	subway	370.018	1.5
401.519	18.5	BAT	big_open	400.019	1.5
421.519	18.501	BAT	sweet_soft	420.019	1.5
441.52	18.501	BAT	round_white	440.02	1.5
461.521	18.5	BAT	liquid_healthy	460.021	1.5
481.521	18.501	BAT	small_wet	480.021	1.5
501.522	28.5	BAT	smooth_angular	500.022	1.5
531.522	18.501	CA	bench	530.022	1.5
551.523	18.501	CA	coat	550.023	1.5
571.524	18.5	CA	costume	570.024	1.5
591.524	18.501	CA	dock	590.024	1.5
611.525	18.5	CA	drum	610.025	1.5
