onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.119	5	association_1_same_context	41	1	S	quarter	1.119	3	4.119	1	10.119	3.5
13.619	5	association_2_same_context	41	2	S	quarter	1.119	3	4.119	9.5	18.619	7.001
25.62	5	association_1_different_context	42	1	D	peak	21.636	3	24.62	1	30.62	3.5
34.12	5	association_2_different_context	42	2	D	peak	21.636	3	24.62	9.5	39.12	8
47.12	5	association_1_different_context	43	1	D	dip	42.12	4	46.12	1	52.12	3.5
55.62	5.001	association_2_different_context	43	2	D	dip	42.12	4	46.12	9.5	60.621	8.5
69.121	5	association_1_different_context	44	1	D	sweep	63.637	4.5	68.121	1	74.121	3.5
77.621	5	association_2_different_context	44	2	D	sweep	63.637	4.5	68.121	9.5	82.621	8.5
91.121	5.001	association_1_different_context	45	1	D	foot	85.621	4.5	90.121	1	96.122	3.5
99.622	5	association_2_different_context	45	2	D	foot	85.621	4.5	90.121	9.501	104.622	9
113.622	5	association_1_same_context	46	1	S	suit	107.622	5	112.622	1	118.622	3.5
122.122	5	association_2_same_context	46	2	S	suit	107.622	5	112.622	9.5	127.122	9.001
136.123	5	association_1_same_context	47	1	S	mix	130.122	5	135.123	1	141.123	3.5
144.623	5	association_2_same_context	47	2	S	mix	130.122	5	135.123	9.5	149.623	7.5
157.123	5	association_1_different_context	48	1	D	trail	152.64	3.5	156.123	1	162.123	3.5
165.623	5.001	association_2_different_context	48	2	D	trail	152.64	3.5	156.123	9.5	170.624	8
178.624	5	association_1_same_context	49	1	S	chunk	173.624	4	177.624	1	183.624	3.5
187.124	4.984	association_2_same_context	49	2	S	chunk	173.624	4	177.624	9.5	192.108	7.5
199.608	5	association_1_same_context	50	1	S	scrap	195.108	3.5	198.608	1	204.608	3.5
208.108	5	association_2_same_context	50	2	S	scrap	195.108	3.5	198.608	9.5	213.108	-205.994
