onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
7.114	5	association_1_different_context	51	1	D	plank	1.114	5	6.114	1	12.114	3.5
15.614	5.001	association_2_different_context	51	2	D	plank	1.114	5	6.114	9.5	20.615	7
27.615	5	association_1_different_context	52	1	D	bell	23.631	3	26.615	1	32.615	3.5
36.115	5	association_2_different_context	52	2	D	bell	23.631	3	26.615	9.5	41.115	9
50.115	5.001	association_1_same_context	53	1	S	alarm	44.132	5	49.115	1	55.116	3.5
58.616	5	association_2_same_context	53	2	S	alarm	44.132	5	49.115	9.501	63.616	8
71.616	5	association_1_different_context	54	1	D	chain	66.633	4	70.616	1	76.616	3.5
80.116	5	association_2_different_context	54	2	D	chain	66.633	4	70.616	9.5	85.116	8.501
93.617	5	association_1_same_context	55	1	S	contact	88.133	4.5	92.617	1	98.617	3.5
102.117	5	association_2_same_context	55	2	S	contact	88.133	4.5	92.617	9.5	107.117	7.5
114.617	5	association_1_different_context	56	1	D	touch	110.134	3.5	113.617	1	119.617	3.501
123.118	5	association_2_different_context	56	2	D	touch	110.134	3.5	113.617	9.501	128.118	7
135.118	5	association_1_same_context	57	1	S	dent	131.134	3	134.118	1	140.118	3.5
143.618	5	association_2_same_context	57	2	S	dent	131.134	3	134.118	9.5	148.618	8
156.618	5.001	association_1_different_context	58	1	D	lobby	151.635	4	155.618	1	161.619	3.5
165.119	5	association_2_different_context	58	2	D	lobby	151.635	4	155.618	9.501	170.119	7.483
177.602	5.001	association_1_same_context	59	1	S	market	173.136	3.5	176.602	1	182.603	3.5
186.103	5	association_2_same_context	59	2	S	market	173.136	3.5	176.602	9.501	191.103	8.5
199.603	5	association_1_same_context	60	1	S	slide	194.12	4.5	198.603	1	204.603	3.5
208.103	5	association_2_same_context	60	2	S	slide	194.12	4.5	198.603	9.5	213.103	n/a
