onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
7.125	5	association_1_same_context	21	1	S	forge	1.125	5	6.125	1	12.125	3.5
15.625	5	association_2_same_context	21	2	S	forge	1.125	5	6.125	9.5	20.625	8.501
29.126	5	association_1_different_context	22	1	D	cross	23.626	4.5	28.126	1	34.126	3.5
37.626	5	association_2_different_context	22	2	D	cross	23.626	4.5	28.126	9.5	42.626	7.5
50.126	5	association_1_different_context	23	1	D	height	45.626	3.5	49.126	1	55.126	3.501
58.627	5	association_2_different_context	23	2	D	height	45.626	3.5	49.126	9.501	63.627	7.5
71.127	5	association_1_different_context	24	1	D	spark	66.627	3.5	70.127	1	76.127	3.5
79.627	5	association_2_different_context	24	2	D	spark	66.627	3.5	70.127	9.5	84.627	7
91.627	5.001	association_1_same_context	25	1	S	den	87.627	3	90.627	1	96.628	3.5
100.128	5	association_2_same_context	25	2	S	den	87.627	3	90.627	9.501	105.128	7
112.128	5	association_1_same_context	26	1	S	list	108.128	3	111.128	1	117.128	3.5
120.628	5	association_2_same_context	26	2	S	list	108.128	3	111.128	9.5	125.628	8.001
133.629	4.983	association_1_same_context	27	1	S	exit	128.629	4	132.612	1.017	138.612	3.5
142.112	5	association_2_same_context	27	2	S	exit	128.629	4	132.612	9.5	147.112	8.001
155.113	5	association_1_different_context	28	1	D	mat	150.146	4	154.113	1	160.113	3.5
163.613	5	association_2_different_context	28	2	D	mat	150.146	4	154.113	9.5	168.613	8.5
177.113	5	association_1_different_context	29	1	D	lookout	171.613	4.5	176.113	1	182.113	3.5
185.613	4.984	association_2_different_context	29	2	D	lookout	171.613	4.5	176.113	9.5	190.597	9
199.597	5	association_1_same_context	30	1	S	fold	193.614	5	198.597	1	204.597	3.5
208.097	5.001	association_2_same_context	30	2	S	fold	193.614	5	198.597	9.5	213.098	-206.979
